codgeo;libgeo;an;p_pop
09284;Ségura;2021;191
09285;Seix;2021;724
09287;Senconac;2021;8
09289;Lorp-Sentaraille;2021;1427
09290;Sentein;2021;164
09291;Sentenac-d'Oust;2021;104
09292;Sentenac-de-Sérou;2021;53
09293;Serres-sur-Arget;2021;725
09294;Sieuras;2021;97
09295;Siguer;2021;96
09296;Aulos-Sinsat;2021;153
09297;Sor;2021;27
09298;Sorgeat;2021;87
09299;Soueix-Rogalle;2021;429
09300;Soula;2021;173
09301;Soulan;2021;382
09303;Surba;2021;326
09304;Suzan;2021;20
09305;Tabre;2021;347
09306;Tarascon-sur-Ariège;2021;3034
09307;Taurignan-Castet;2021;157
09308;Taurignan-Vieux;2021;208
09309;Teilhet;2021;159
09310;Thouars-sur-Arize;2021;43
09311;Tignac;2021;21
09312;La Tour-du-Crieu;2021;3246
09313;Tourtouse;2021;162
09314;Tourtrol;2021;253
09315;Trémoulet;2021;113
09316;Troye-d'Ariège;2021;108
09318;Unac;2021;126
09319;Unzent;2021;117
09320;Urs;2021;26
09321;Ussat;2021;309
09322;Ustou;2021;264
09323;Vals;2021;88
09324;Varilhes;2021;3495
09325;Vaychis;2021;33
09326;Vèbre;2021;118
09327;Ventenac;2021;237
09328;Verdun;2021;210
09329;Vernajoul;2021;710
09330;Vernaux;2021;31
09331;Le Vernet;2021;704
09332;Verniolle;2021;2338
09334;Val-de-Sos;2021;543
09335;Villeneuve;2021;41
09336;Villeneuve-d'Olmes;2021;960
09338;Villeneuve-du-Latou;2021;154
09339;Villeneuve-du-Paréage;2021;765
09340;Vira;2021;157
09341;Viviès;2021;154
09342;Sainte-Suzanne;2021;239
10002;Ailleville;2021;227
10003;Aix-Villemaur-Pâlis;2021;3437
10004;Allibaudières;2021;213
10005;Amance;2021;246
10006;Arcis-sur-Aube;2021;2759
10007;Arconville;2021;105
10008;Argançon;2021;114
10009;Arrelles;2021;85
10010;Arrembécourt;2021;46
10011;Arrentières;2021;198
10012;Arsonval;2021;295
10013;Assenay;2021;140
10014;Assencières;2021;187
10015;Aubeterre;2021;385
10017;Aulnay;2021;117
10018;Auxon;2021;982
10019;Val-d'Auzon;2021;372
10020;Avant-lès-Marcilly;2021;499
10021;Avant-lès-Ramerupt;2021;153
10022;Avirey-Lingey;2021;201
10023;Avon-la-Pèze;2021;201
10024;Avreuil;2021;169
10025;Bagneux-la-Fosse;2021;173
10026;Bailly-le-Franc;2021;37
10027;Balignicourt;2021;58
10028;Balnot-la-Grange;2021;115
10029;Balnot-sur-Laignes;2021;154
10030;Barberey-Saint-Sulpice;2021;1563
10031;Barbuise;2021;461
10032;Baroville;2021;285
10033;Bar-sur-Aube;2021;4753
10034;Bar-sur-Seine;2021;2877
10035;Bayel;2021;743
10037;Bercenay-en-Othe;2021;427
10038;Bercenay-le-Hayer;2021;194
10039;Bergères;2021;112
10040;Bernon;2021;164
10041;Bertignolles;2021;51
10042;Bérulle;2021;196
10043;Bessy;2021;118
10044;Bétignicourt;2021;32
10045;Beurey;2021;178
10046;Blaincourt-sur-Aube;2021;103
10047;Blignicourt;2021;42
10048;Bligny;2021;161
10049;Les Bordes-Aumont;2021;530
10050;Bossancourt;2021;194
10051;Bouilly;2021;1076
10052;Boulages;2021;223
10053;Bouranton;2021;615
10054;Bourdenay;2021;117
10055;Bourguignons;2021;255
10056;Bouy-Luxembourg;2021;252
10057;Bouy-sur-Orvin;2021;53
10058;Bragelogne-Beauvoir;2021;228
10059;Braux;2021;112
10060;Bréviandes;2021;3034
10061;Brévonnes;2021;661
10062;Briel-sur-Barse;2021;198
10063;Brienne-la-Vieille;2021;394
10064;Brienne-le-Château;2021;2738
10065;Brillecourt;2021;84
10066;Bucey-en-Othe;2021;437
10067;Buchères;2021;1895
10068;Buxeuil;2021;116
10069;Buxières-sur-Arce;2021;115
10070;Celles-sur-Ource;2021;483
10071;Chacenay;2021;53
10072;La Chaise;2021;33
10073;Chalette-sur-Voire;2021;123
10074;Chamoy;2021;502
10075;Champfleury;2021;105
10076;Champignol-lez-Mondeville;2021;258
10077;Champigny-sur-Aube;2021;100
10078;Champ-sur-Barse;2021;26
10079;Channes;2021;124
10080;Chaource;2021;1015
10081;La Chapelle-Saint-Luc;2021;12299
10082;Chapelle-Vallon;2021;236
10083;Chappes;2021;350
10084;Charmont-sous-Barbuise;2021;1025
10085;Charmoy;2021;66
10086;Charny-le-Bachot;2021;249
10087;Chaserey;2021;48
10089;Châtres;2021;703
10090;Chauchigny;2021;225
10091;Chaudrey;2021;138
10092;Chauffour-lès-Bailly;2021;129
10093;Chaumesnil;2021;106
10094;Chavanges;2021;593
10095;Le Chêne;2021;284
10096;Chennegy;2021;458
10097;Chervey;2021;153
10098;Chesley;2021;304
10099;Chessy-les-Prés;2021;527
10100;Clérey;2021;1142
10101;Coclois;2021;172
10102;Colombé-la-Fosse;2021;172
10103;Colombé-le-Sec;2021;154
10104;Cormost;2021;299
10105;Courcelles-sur-Voire;2021;25
10106;Courceroy;2021;144
10107;Coursan-en-Othe;2021;102
10108;Courtaoult;2021;85
10109;Courtenot;2021;219
10110;Courteranges;2021;578
10111;Courteron;2021;102
10112;Coussegrey;2021;179
10113;Couvignon;2021;198
10114;Crancey;2021;704
10115;Creney-près-Troyes;2021;1997
10116;Crésantignes;2021;314
10117;Crespy-le-Neuf;2021;136
10118;Les Croûtes;2021;92
10119;Cunfin;2021;174
10120;Cussangy;2021;199
10121;Dampierre;2021;333
10122;Davrey;2021;220
10123;Dienville;2021;834
10124;Dierrey-Saint-Julien;2021;270
10125;Dierrey-Saint-Pierre;2021;310
10126;Dolancourt;2021;127
10127;Dommartin-le-Coq;2021;56
10128;Donnement;2021;73
10129;Dosches;2021;313
10130;Dosnon;2021;99
10131;Droupt-Saint-Basle;2021;348
10132;Droupt-Sainte-Marie;2021;249
10133;Eaux-Puiseaux;2021;254
10134;Échemines;2021;87
10135;Éclance;2021;92
10136;Éguilly-sous-Bois;2021;114
10137;Engente;2021;31
10138;Épagne;2021;137
10139;Épothémont;2021;156
10140;Ervy-le-Châtel;2021;1113
10141;Essoyes;2021;714
10142;Estissac;2021;1830
10143;Étourvy;2021;152
10144;Étrelles-sur-Aube;2021;156
10145;Faux-Villecerf;2021;205
10146;Fay-lès-Marcilly;2021;88
10147;Fays-la-Chapelle;2021;130
10148;Ferreux-Quincey;2021;407
10149;Feuges;2021;331
10150;Fontaine;2021;248
10151;Fontaine-les-Grès;2021;892
10153;Fontaine-Mâcon;2021;616
10154;Fontenay-de-Bossery;2021;71
10155;Fontette;2021;178
10156;Fontvannes;2021;712
10157;La Fosse-Corduan;2021;214
10158;Fouchères;2021;516
10159;Fralignes;2021;91
10160;Fravaux;2021;36
10161;Fresnay;2021;50
10162;Fresnoy-le-Château;2021;300
10163;Fuligny;2021;41
10164;Gélannes;2021;713
10165;Géraudot;2021;333
10166;Les Grandes-Chapelles;2021;397
10167;Grandville;2021;88
10168;Les Granges;2021;82
10169;Gumery;2021;217
10170;Gyé-sur-Seine;2021;470
10171;Hampigny;2021;224
10172;Herbisse;2021;151
10173;Isle-Aumont;2021;475
10174;Isle-Aubigny;2021;171
10175;Jasseines;2021;166
10176;Jaucourt;2021;149
10177;Javernant;2021;155
10178;Jessains;2021;254
10179;Jeugny;2021;465
10180;Joncreuil;2021;96
10181;Jully-sur-Sarce;2021;209
10182;Juvancourt;2021;113
10183;Juvanzé;2021;35
10184;Juzanvigny;2021;126
10185;Lagesse;2021;209
10186;Laines-aux-Bois;2021;530
10187;Landreville;2021;384
10188;Lantages;2021;206
10189;Lassicourt;2021;56
10190;Laubressel;2021;568
10191;Lavau;2021;934
10192;Lentilles;2021;129
10193;Lesmont;2021;302
10194;Lévigny;2021;92
10195;Lhuître;2021;279
10196;Lignières;2021;221
10197;Lignol-le-Château;2021;166
10198;Lirey;2021;110
10199;Loches-sur-Ource;2021;346
10200;La Loge-aux-Chèvres;2021;95
10201;La Loge-Pomblin;2021;64
10202;Les Loges-Margueron;2021;216
10203;Longchamp-sur-Aujon;2021;367
10204;Longeville-sur-Mogne;2021;140
10205;Longpré-le-Sec;2021;77
10206;Longsols;2021;132
10207;Longueville-sur-Aube;2021;129
10208;La Louptière-Thénard;2021;290
10209;Lusigny-sur-Barse;2021;2244
10210;Luyères;2021;461
10211;Macey;2021;990
10212;Machy;2021;111
10213;Magnant;2021;162
10214;Magnicourt;2021;88
10215;Magny-Fouchard;2021;261
10216;Mailly-le-Camp;2021;2021
10217;Maison-des-Champs;2021;34
10218;Maisons-lès-Chaource;2021;169
10219;Maisons-lès-Soulaines;2021;70
10220;Maizières-la-Grande-Paroisse;2021;1513
10221;Maizières-lès-Brienne;2021;159
10222;Maraye-en-Othe;2021;430
10223;Marcilly-le-Hayer;2021;719
10224;Marigny-le-Châtel;2021;1756
10225;Marnay-sur-Seine;2021;235
10226;Marolles-lès-Bailly;2021;115
10227;Marolles-sous-Lignières;2021;352
10228;Mathaux;2021;205
10229;Maupas;2021;101
10230;Mergey;2021;671
10231;Le Mériot;2021;623
10232;Merrey-sur-Arce;2021;325
10233;Méry-sur-Seine;2021;1465
10234;Mesgrigny;2021;265
10235;Mesnil-la-Comtesse;2021;53
10236;Mesnil-Lettre;2021;58
10237;Mesnil-Saint-Loup;2021;588
10238;Mesnil-Saint-Père;2021;438
10239;Mesnil-Sellières;2021;583
10240;Messon;2021;469
10241;Metz-Robert;2021;58
10242;Meurville;2021;155
10243;Molins-sur-Aube;2021;103
10245;Montaulin;2021;811
10246;Montceaux-lès-Vaudes;2021;251
10247;Montfey;2021;116
10248;Montgueux;2021;390
10249;Montiéramey;2021;404
10250;Montier-en-l'Isle;2021;220
10251;Montigny-les-Monts;2021;253
10252;Montmartin-le-Haut;2021;62
10253;Montmorency-Beaufort;2021;148
10254;Montpothier;2021;333
10255;Montreuil-sur-Barse;2021;288
10256;Montsuzain;2021;400
10257;Morembert;2021;29
10258;Morvilliers;2021;272
10259;La Motte-Tilly;2021;365
10260;Moussey;2021;658
10261;Mussy-sur-Seine;2021;975
10262;Neuville-sur-Seine;2021;389
10263;Neuville-sur-Vanne;2021;458
10264;Noé-les-Mallets;2021;108
10265;Les Noës-près-Troyes;2021;3267
10266;Nogent-en-Othe;2021;45
10267;Nogent-sur-Aube;2021;304
10268;Nogent-sur-Seine;2021;5809
10269;Nozay;2021;153
10270;Onjon;2021;262
10271;Origny-le-Sec;2021;600
10272;Ormes;2021;174
10273;Ortillon;2021;23
10274;Orvilliers-Saint-Julien;2021;311
10275;Ossey-les-Trois-Maisons;2021;597
10276;Paisy-Cosdon;2021;333
10278;Pargues;2021;138
10279;Pars-lès-Chavanges;2021;46
10280;Pars-lès-Romilly;2021;823
10281;Le Pavillon-Sainte-Julie;2021;282
10282;Payns;2021;1384
10283;Pel-et-Der;2021;128
10284;Périgny-la-Rose;2021;153
10285;Perthes-lès-Brienne;2021;65
10286;Petit-Mesnil;2021;202
10287;Piney;2021;1447
10288;Plaines-Saint-Lange;2021;263
10289;Plancy-l'Abbaye;2021;966
10290;Planty;2021;231
10291;Plessis-Barbuise;2021;179
10293;Poivres;2021;158
10294;Poligny;2021;59
10295;Polisot;2021;323
10296;Polisy;2021;179
10297;Pont-Sainte-Marie;2021;5143
10298;Pont-sur-Seine;2021;1156
10299;Pouan-les-Vallées;2021;507
10300;Pougy;2021;278
10301;Pouy-sur-Vannes;2021;178
10302;Praslin;2021;86
10303;Précy-Notre-Dame;2021;72
10304;Précy-Saint-Martin;2021;182
10305;Prémierfait;2021;89
10306;Proverville;2021;230
10307;Prugny;2021;366
10308;Prunay-Belleville;2021;216
10309;Prusy;2021;92
10310;Puits-et-Nuisement;2021;206
10312;Racines;2021;171
10313;Radonvilliers;2021;341
10314;Ramerupt;2021;411
10315;Rances;2021;45
10316;Rhèges;2021;209
10317;Les Riceys;2021;1197
10318;Rigny-la-Nonneuse;2021;156
10319;Rigny-le-Ferron;2021;321
10320;Rilly-Sainte-Syre;2021;230
10321;La Rivière-de-Corps;2021;3651
10323;Romilly-sur-Seine;2021;14766
10324;Roncenay;2021;168
10325;Rosières-près-Troyes;2021;4749
10326;Rosnay-l'Hôpital;2021;164
10327;La Rothière;2021;118
10328;Rouilly-Sacey;2021;388
10329;Rouilly-Saint-Loup;2021;528
10330;Rouvres-les-Vignes;2021;113
10331;Rumilly-lès-Vaudes;2021;573
10332;Ruvigny;2021;497
10333;Saint-André-les-Vergers;2021;12775
10334;Saint-Aubin;2021;588
10335;Saint-Benoist-sur-Vanne;2021;233
10336;Saint-Benoît-sur-Seine;2021;400
10337;Saint-Christophe-Dodinicourt;2021;32
10338;Saint-Étienne-sous-Barbuise;2021;177
10339;Saint-Flavy;2021;295
10340;Saint-Germain;2021;2348
10341;Saint-Hilaire-sous-Romilly;2021;347
10342;Saint-Jean-de-Bonneval;2021;403
10343;Saint-Julien-les-Villas;2021;6745
10344;Saint-Léger-près-Troyes;2021;911
10345;Saint-Léger-sous-Brienne;2021;384
10346;Saint-Léger-sous-Margerie;2021;50
10347;Saint-Loup-de-Buffigny;2021;210
10348;Saint-Lupien;2021;228
10349;Saint-Lyé;2021;2870
10350;Saint-Mards-en-Othe;2021;639
10351;Saint-Martin-de-Bossenay;2021;357
10352;Sainte-Maure;2021;1766
10353;Saint-Mesmin;2021;898
10354;Saint-Nabord-sur-Aube;2021;136
10355;Saint-Nicolas-la-Chapelle;2021;69
10356;Saint-Oulph;2021;318
10357;Saint-Parres-aux-Tertres;2021;3201
10358;Saint-Parres-lès-Vaudes;2021;1066
10359;Saint-Phal;2021;513
10360;Saint-Pouange;2021;994
10361;Saint-Remy-sous-Barbuise;2021;250
10362;Sainte-Savine;2021;10515
10363;Saint-Thibault;2021;547
10364;Saint-Usage;2021;70
10365;Salon;2021;126
10366;Saulcy;2021;63
10367;La Saulsotte;2021;675
10368;Savières;2021;1050
10369;Semoine;2021;210
10370;Soligny-les-Étangs;2021;251
10371;Sommeval;2021;305
10372;Soulaines-Dhuys;2021;419
10373;Souligny;2021;372
10374;Spoy;2021;149
10375;Thennelières;2021;330
10376;Thieffrain;2021;155
10377;Thil;2021;109
10378;Thors;2021;67
10379;Torcy-le-Grand;2021;449
10380;Torcy-le-Petit;2021;75
10381;Torvilliers;2021;1042
10382;Traînel;2021;1024
10383;Trancault;2021;180
10384;Trannes;2021;200
10386;Trouans;2021;210
10387;Troyes;2021;62782
10388;Turgy;2021;42
10389;Unienville;2021;109
10390;Urville;2021;117
10391;Vailly;2021;303
10392;Vallant-Saint-Georges;2021;411
10393;Vallentigny;2021;183
10394;Vallières;2021;168
10395;Vanlay;2021;290
10396;Vauchassis;2021;499
10397;Vauchonvilliers;2021;170
10398;Vaucogne;2021;73
10399;Vaudes;2021;722
10400;Vaupoisson;2021;121
10401;Vendeuvre-sur-Barse;2021;2287
10402;La Vendue-Mignot;2021;243
10403;Vernonvilliers;2021;54
10404;Verpillières-sur-Ource;2021;110
10405;Verricourt;2021;59
10406;Verrières;2021;1854
10408;Viâpres-le-Petit;2021;136
10409;Villacerf;2021;603
10410;Villadin;2021;103
10411;La Ville-aux-Bois;2021;28
10412;Villechétif;2021;947
10414;Villeloup;2021;126
10416;Villemereuil;2021;242
10417;Villemoiron-en-Othe;2021;204
10418;Villemorien;2021;200
10419;Villemoyenne;2021;734
10420;Villenauxe-la-Grande;2021;2645
10421;La Villeneuve-au-Châtelot;2021;147
10422;Villeneuve-au-Chemin;2021;187
10423;La Villeneuve-au-Chêne;2021;403
10424;Villeret;2021;64
10425;Villery;2021;270
10426;Ville-sous-la-Ferté;2021;905
10427;Ville-sur-Arce;2021;201
10428;Ville-sur-Terre;2021;99
10429;Villette-sur-Aube;2021;250
10430;Villiers-Herbisse;2021;83
10431;Villiers-le-Bois;2021;102
10432;Villiers-sous-Praslin;2021;69
10433;Villy-en-Trodes;2021;254
10434;Villy-le-Bois;2021;56
10435;Villy-le-Maréchal;2021;189
10436;Vinets;2021;181
10437;Virey-sous-Bar;2021;597
10438;Vitry-le-Croisé;2021;223
10439;Viviers-sur-Artaut;2021;122
10440;Voigny;2021;142
10441;Vosnon;2021;234
10442;Voué;2021;707
10443;Vougrey;2021;42
10444;Vulaines;2021;225
10445;Yèvres-le-Petit;2021;53
11001;Aigues-Vives;2021;543
11002;Airoux;2021;176
11003;Ajac;2021;199
11004;Alaigne;2021;332
11005;Alairac;2021;1364
11006;Albas;2021;78
11007;Albières;2021;115
11008;Alet-les-Bains;2021;386
11009;Alzonne;2021;1595
11010;Antugnac;2021;281
11011;Aragon;2021;470
11012;Argeliers;2021;2142
11013;Argens-Minervois;2021;353
11014;Armissan;2021;1488
11015;Arques;2021;259
11016;Arquettes-en-Val;2021;79
11017;Artigues;2021;74
11018;Arzens;2021;1202
11019;Aunat;2021;62
11020;Auriac;2021;34
11021;Axat;2021;497
11022;Azille;2021;1132
11023;Badens;2021;738
11024;Bages;2021;779
11025;Bagnoles;2021;312
11026;Baraigne;2021;168
11027;Barbaira;2021;789
11028;Belcaire;2021;373
11029;Belcastel-et-Buc;2021;61
11030;Belflou;2021;111
11031;Belfort-sur-Rebenty;2021;22
11032;Bellegarde-du-Razès;2021;253
11033;Belpech;2021;1342
11034;Belvèze-du-Razès;2021;846
11035;Belvianes-et-Cavirac;2021;249
11036;Belvis;2021;159
11037;Berriac;2021;936
11038;Bessède-de-Sault;2021;51
11039;La Bezole;2021;49
11040;Bizanet;2021;1767
11041;Bize-Minervois;2021;1258
11042;Blomac;2021;245
11043;Bouilhonnac;2021;219
11044;Bouisse;2021;101
11045;Bouriège;2021;147
11046;Bourigeole;2021;55
11047;Le Bousquet;2021;49
11048;Boutenac;2021;731
11049;Bram;2021;3239
11051;Brézilhac;2021;180
11052;Brousses-et-Villaret;2021;338
11053;Brugairolles;2021;295
11054;Les Brunels;2021;268
11055;Bugarach;2021;240
11056;Cabrespine;2021;173
11057;Cahuzac;2021;27
11058;Cailhau;2021;250
11059;Cailhavel;2021;147
11060;Cailla;2021;51
11061;Cambieure;2021;318
11062;Campagna-de-Sault;2021;19
11063;Campagne-sur-Aude;2021;608
11064;Camplong-d'Aude;2021;380
11065;Camps-sur-l'Agly;2021;56
11066;Camurac;2021;106
11067;Canet;2021;1833
11068;Capendu;2021;1470
11069;Carcassonne;2021;46218
11070;Carlipa;2021;338
11071;Cascastel-des-Corbières;2021;219
11072;La Cassaigne;2021;175
11073;Cassaignes;2021;58
11074;Les Cassés;2021;312
11075;Castans;2021;131
11076;Castelnaudary;2021;12448
11077;Castelnau-d'Aude;2021;497
11078;Castelreng;2021;206
11079;Caudebronde;2021;217
11080;Val de Lambronne;2021;161
11081;Caunes-Minervois;2021;1581
11082;Caunette-sur-Lauquet;2021;10
11083;Caunettes-en-Val;2021;56
11084;Caux-et-Sauzens;2021;1001
11085;Cavanac;2021;986
11086;Caves;2021;888
11087;Cazalrenoux;2021;98
11088;Cazilhac;2021;1643
11089;Cenne-Monestiés;2021;410
11090;Cépie;2021;609
11091;Chalabre;2021;1144
11092;Citou;2021;95
11093;Le Clat;2021;28
11094;Clermont-sur-Lauquet;2021;29
11095;Comigne;2021;320
11096;Comus;2021;32
11098;Conilhac-Corbières;2021;900
11099;Conques-sur-Orbiel;2021;2575
11100;Corbières;2021;33
11101;Coudons;2021;52
11102;Couffoulens;2021;554
11103;Couiza;2021;1127
11104;Counozouls;2021;54
11105;Cournanel;2021;685
11106;Coursan;2021;5751
11107;Courtauly;2021;79
11108;La Courtète;2021;46
11109;Coustaussa;2021;51
11110;Coustouge;2021;115
11111;Cruscades;2021;925
11112;Cubières-sur-Cinoble;2021;80
11113;Cucugnan;2021;116
11114;Cumiès;2021;42
11115;Cuxac-Cabardès;2021;935
11116;Cuxac-d'Aude;2021;4061
11117;Davejean;2021;131
11118;Dernacueillette;2021;45
11119;La Digne-d'Amont;2021;292
11120;La Digne-d'Aval;2021;531
11121;Donazac;2021;112
11122;Douzens;2021;776
11123;Duilhac-sous-Peyrepertuse;2021;148
11124;Durban-Corbières;2021;648
11125;Embres-et-Castelmaure;2021;151
11126;Escales;2021;481
11127;Escouloubre;2021;70
11128;Escueillens-et-Saint-Just-de-Bélengard;2021;142
11129;Espéraza;2021;1703
11130;Espezel;2021;231
11131;Val-du-Faby;2021;582
11132;Fabrezan;2021;1257
11133;Fajac-en-Val;2021;48
11134;Fajac-la-Relenque;2021;51
11135;La Fajolle;2021;12
11136;Fanjeaux;2021;872
11137;Félines-Termenès;2021;131
11138;Fendeille;2021;568
11139;Fenouillet-du-Razès;2021;75
11140;Ferrals-les-Corbières;2021;1267
11141;Ferran;2021;127
11142;Festes-et-Saint-André;2021;189
11143;Feuilla;2021;108
11144;Fitou;2021;1122
11145;Fleury;2021;3896
11146;Floure;2021;418
11147;Fontanès-de-Sault;2021;5
11148;Fontcouverte;2021;567
11149;Fonters-du-Razès;2021;76
11150;Fontiers-Cabardès;2021;458
11151;Fontiès-d'Aude;2021;554
11152;Fontjoncouse;2021;135
11153;La Force;2021;258
11154;Fournes-Cabardès;2021;52
11155;Fourtou;2021;79
11156;Fraisse-Cabardès;2021;104
11157;Fraissé-des-Corbières;2021;211
11158;Gaja-et-Villedieu;2021;303
11159;Gaja-la-Selve;2021;137
11160;Galinagues;2021;33
11161;Gardie;2021;128
11162;Generville;2021;54
11163;Gincla;2021;47
11164;Ginestas;2021;1547
11165;Ginoles;2021;301
11166;Gourvieille;2021;73
11167;Gramazie;2021;127
11168;Granès;2021;109
11169;Greffeil;2021;92
11170;Gruissan;2021;5096
11172;Homps;2021;600
11173;Hounoux;2021;131
11174;Les Ilhes;2021;59
11175;Issel;2021;484
11176;Jonquières;2021;51
11177;Joucou;2021;31
11178;Labastide-d'Anjou;2021;1271
11179;Labastide-en-Val;2021;89
11180;Labastide-Esparbairenque;2021;59
11181;Labécède-Lauragais;2021;412
11182;Lacombe;2021;179
11183;Ladern-sur-Lauquet;2021;265
11184;Lafage;2021;95
11185;Lagrasse;2021;541
11186;Lairière;2021;53
11187;Lanet;2021;58
11188;La Palme;2021;1784
11189;Laprade;2021;111
11190;La Redorte;2021;1254
11191;Laroque-de-Fa;2021;144
11192;Lasbordes;2021;803
11193;Lasserre-de-Prouille;2021;286
11194;Lastours;2021;153
11195;Laurabuc;2021;390
11196;Laurac;2021;181
11197;Lauraguel;2021;615
11198;Laure-Minervois;2021;1000
11199;Lavalette;2021;1532
11200;Lespinassière;2021;135
11201;Leuc;2021;837
11202;Leucate;2021;4550
11203;Lézignan-Corbières;2021;10952
11204;Lignairolles;2021;39
11205;Limousis;2021;127
11206;Limoux;2021;10302
11207;Loupia;2021;247
11208;La Louvière-Lauragais;2021;81
11209;Luc-sur-Aude;2021;249
11210;Luc-sur-Orbieu;2021;1146
11211;Magrie;2021;538
11212;Mailhac;2021;581
11213;Maisons;2021;46
11214;Malras;2021;431
11215;Malves-en-Minervois;2021;871
11216;Malviès;2021;364
11217;Marcorignan;2021;1303
11218;Marquein;2021;81
11219;Marsa;2021;21
11220;Marseillette;2021;700
11221;Les Martys;2021;304
11222;Mas-Cabardès;2021;175
11223;Mas-des-Cours;2021;24
11224;Massac;2021;26
11225;Mas-Saintes-Puelles;2021;933
11226;Mayreville;2021;84
11227;Mayronnes;2021;42
11228;Mazerolles-du-Razès;2021;151
11229;Mazuby;2021;26
11230;Mérial;2021;33
11231;Mézerville;2021;97
11232;Miraval-Cabardès;2021;50
11233;Mirepeisset;2021;749
11234;Mireval-Lauragais;2021;191
11235;Missègre;2021;57
11236;Molandier;2021;247
11238;Molleville;2021;144
11239;Montauriol;2021;82
11240;Montazels;2021;547
11241;Montbrun-des-Corbières;2021;339
11242;Montclar;2021;173
11243;Montferrand;2021;636
11244;Montfort-sur-Boulzane;2021;89
11245;Montgaillard;2021;37
11246;Montgradail;2021;48
11247;Monthaut;2021;38
11248;Montirat;2021;68
11249;Montjardin;2021;82
11250;Montjoi;2021;38
11251;Val-de-Dagne;2021;734
11252;Montmaur;2021;335
11253;Montolieu;2021;828
11254;Montréal;2021;2048
11255;Montredon-des-Corbières;2021;1480
11256;Montséret;2021;628
11257;Monze;2021;239
11258;Moussan;2021;2066
11259;Moussoulens;2021;996
11260;Mouthoumet;2021;112
11261;Moux;2021;711
11262;Narbonne;2021;56395
11263;Nébias;2021;258
11264;Névian;2021;1280
11265;Niort-de-Sault;2021;38
11266;Port-la-Nouvelle;2021;5905
11267;Ornaisons;2021;1102
11268;Orsans;2021;107
11269;Ouveillan;2021;2554
11270;Padern;2021;142
11271;Palairac;2021;32
11272;Palaja;2021;2594
11273;Paraza;2021;701
11274;Pauligne;2021;368
11275;Payra-sur-l'Hers;2021;207
11276;Paziols;2021;523
11277;Pécharic-et-le-Py;2021;29
11278;Pech-Luna;2021;75
11279;Pennautier;2021;2795
11280;Pépieux;2021;1098
11281;Pexiora;2021;1253
11282;Peyrefitte-du-Razès;2021;54
11283;Peyrefitte-sur-l'Hers;2021;77
11284;Peyrens;2021;461
11285;Peyriac-de-Mer;2021;1167
11286;Peyriac-Minervois;2021;1160
11287;Peyrolles;2021;88
11288;Pezens;2021;1598
11289;Pieusse;2021;962
11290;Plaigne;2021;119
11291;Plavilla;2021;131
11292;La Pomarède;2021;179
11293;Pomas;2021;954
11294;Pomy;2021;53
11295;Portel-des-Corbières;2021;1305
11296;Pouzols-Minervois;2021;587
11297;Pradelles-Cabardès;2021;154
11299;Preixan;2021;633
11300;Puginier;2021;154
11301;Puichéric;2021;1190
11302;Puilaurens;2021;268
11303;Puivert;2021;428
11304;Quillan;2021;3066
11305;Quintillan;2021;53
11306;Quirbajou;2021;50
11307;Raissac-d'Aude;2021;246
11308;Raissac-sur-Lampy;2021;465
11309;Rennes-le-Château;2021;89
11310;Rennes-les-Bains;2021;210
11311;Ribaute;2021;265
11312;Ribouisse;2021;106
11313;Ricaud;2021;319
11314;Rieux-en-Val;2021;84
11315;Rieux-Minervois;2021;1975
11316;Rivel;2021;215
11317;Rodome;2021;103
11318;Roquecourbe-Minervois;2021;131
11319;Roquefère;2021;74
11320;Roquefeuil;2021;288
11321;Roquefort-de-Sault;2021;83
11322;Roquefort-des-Corbières;2021;1021
11323;Roquetaillade-et-Conilhac;2021;271
11324;Roubia;2021;511
11325;Rouffiac-d'Aude;2021;472
11326;Rouffiac-des-Corbières;2021;72
11327;Roullens;2021;545
11328;Routier;2021;235
11330;Rustiques;2021;512
11331;Saint-Amans;2021;61
11332;Saint-André-de-Roquelongue;2021;1385
11333;Saint-Benoît;2021;106
11334;Sainte-Camelle;2021;121
11335;Sainte-Colombe-sur-Guette;2021;42
11336;Sainte-Colombe-sur-l'Hers;2021;441
11337;Saint-Couat-d'Aude;2021;373
11338;Saint-Couat-du-Razès;2021;38
11339;Saint-Denis;2021;498
11340;Sainte-Eulalie;2021;544
11341;Saint-Ferriol;2021;109
11342;Saint-Frichoux;2021;233
11343;Saint-Gaudéric;2021;112
11344;Saint-Hilaire;2021;713
11345;Saint-Jean-de-Barrou;2021;265
11346;Saint-Jean-de-Paracol;2021;135
11347;Saint-Julia-de-Bec;2021;102
11348;Saint-Julien-de-Briola;2021;83
11350;Saint-Just-et-le-Bézu;2021;50
11351;Saint-Laurent-de-la-Cabrerisse;2021;746
11352;Saint-Louis-et-Parahou;2021;51
11353;Saint-Marcel-sur-Aude;2021;2027
11354;Saint-Martin-des-Puits;2021;29
11355;Saint-Martin-de-Villereglan;2021;368
11356;Saint-Martin-Lalande;2021;1113
11357;Saint-Martin-le-Vieil;2021;212
11358;Saint-Martin-Lys;2021;24
11359;Saint-Michel-de-Lanès;2021;483
11360;Saint-Nazaire-d'Aude;2021;2091
11361;Saint-Papoul;2021;849
11362;Saint-Paulet;2021;204
11363;Saint-Pierre-des-Champs;2021;191
