codgeo;libgeo;an;p_pop
01242;Mérignat;2021;136
01243;Messimy-sur-Saône;2021;1288
01244;Meximieux;2021;8085
01245;Bohas-Meyriat-Rignat;2021;965
01246;Mézériat;2021;2192
01247;Mijoux;2021;297
01248;Mionnay;2021;2227
01249;Miribel;2021;10225
01250;Misérieux;2021;1994
01252;Mogneneins;2021;803
01254;Montagnat;2021;2145
01255;Montagnieu;2021;666
01257;Montanges;2021;350
01258;Montceaux;2021;1198
01259;Montcet;2021;704
01260;Le Montellier;2021;319
01261;Monthieux;2021;682
01262;Montluel;2021;6838
01263;Montmerle-sur-Saône;2021;3792
01264;Montracol;2021;1008
01265;Montréal-la-Cluse;2021;3541
01266;Montrevel-en-Bresse;2021;2578
01267;Nurieux-Volognat;2021;990
01268;Murs-et-Gélignieux;2021;240
01269;Nantua;2021;3449
01272;Neuville-les-Dames;2021;1515
01273;Neuville-sur-Ain;2021;1799
01274;Les Neyrolles;2021;632
01275;Neyron;2021;2538
01276;Niévroz;2021;1634
01277;Nivollet-Montgriffon;2021;115
01279;Oncieu;2021;73
01280;Ordonnaz;2021;141
01281;Ornex;2021;4690
01282;Outriaz;2021;255
01283;Oyonnax;2021;22277
01284;Ozan;2021;725
01285;Parcieux;2021;1319
01286;Parves et Nattages;2021;955
01288;Péron;2021;2838
01289;Péronnas;2021;6448
01290;Pérouges;2021;1346
01291;Perrex;2021;852
01293;Peyriat;2021;148
01294;Peyrieu;2021;908
01295;Peyzieux-sur-Saône;2021;666
01296;Pirajoux;2021;407
01297;Pizay;2021;914
01298;Plagne;2021;161
01299;Le Plantay;2021;579
01301;Polliat;2021;2648
01302;Pollieu;2021;168
01303;Poncin;2021;1729
01304;Pont-d'Ain;2021;2871
01305;Pont-de-Vaux;2021;2189
01306;Pont-de-Veyle;2021;1629
01307;Port;2021;843
01308;Pougny;2021;796
01309;Pouillat;2021;81
01310;Prémeyzel;2021;247
01311;Prémillieu;2021;44
01313;Prévessin-Moëns;2021;9063
01314;Priay;2021;1764
01317;Ramasse;2021;331
01318;Rancé;2021;741
01319;Relevant;2021;467
01320;Replonges;2021;3899
01321;Revonnas;2021;896
01322;Reyrieux;2021;5098
01323;Reyssouze;2021;1010
01325;Rignieux-le-Franc;2021;1098
01328;Romans;2021;617
01329;Rossillon;2021;160
01330;Ruffieu;2021;177
01331;Saint-Alban;2021;192
01332;Saint-André-de-Bâgé;2021;809
01333;Saint-André-de-Corcy;2021;3368
01334;Saint-André-d'Huiriat;2021;675
01335;Saint-André-le-Bouchoux;2021;418
01336;Saint-André-sur-Vieux-Jonc;2021;1211
01337;Saint-Bénigne;2021;1343
01338;Groslée-Saint-Benoit;2021;1238
01339;Saint-Bernard;2021;1497
01342;Sainte-Croix;2021;547
01343;Saint-Cyr-sur-Menthon;2021;1844
01344;Saint-Denis-lès-Bourg;2021;6063
01345;Saint-Denis-en-Bugey;2021;2240
01346;Saint-Didier-d'Aussiat;2021;850
01347;Saint-Didier-de-Formans;2021;2141
01348;Saint-Didier-sur-Chalaronne;2021;3052
01349;Saint-Éloi;2021;524
01350;Saint-Étienne-du-Bois;2021;2553
01351;Saint-Étienne-sur-Chalaronne;2021;1613
01352;Saint-Étienne-sur-Reyssouze;2021;581
01353;Sainte-Euphémie;2021;1730
01354;Saint-Genis-Pouilly;2021;14558
01355;Saint-Genis-sur-Menthon;2021;486
01356;Saint-Georges-sur-Renon;2021;199
01357;Saint-Germain-de-Joux;2021;505
01358;Saint-Germain-les-Paroisses;2021;425
01359;Saint-Germain-sur-Renon;2021;257
01360;Saint-Jean-de-Gonville;2021;1988
01361;Saint-Jean-de-Niost;2021;1826
01362;Saint-Jean-de-Thurigneux;2021;829
01363;Saint-Jean-le-Vieux;2021;1786
01364;Saint-Jean-sur-Reyssouze;2021;767
01365;Saint-Jean-sur-Veyle;2021;1159
01366;Sainte-Julie;2021;1090
01367;Saint-Julien-sur-Reyssouze;2021;707
01368;Saint-Julien-sur-Veyle;2021;848
01369;Saint-Just;2021;954
01370;Saint-Laurent-sur-Saône;2021;1659
01371;Saint-Marcel;2021;1261
01372;Saint-Martin-de-Bavel;2021;436
01373;Saint-Martin-du-Frêne;2021;1033
01374;Saint-Martin-du-Mont;2021;1899
01375;Saint-Martin-le-Châtel;2021;781
01376;Saint-Maurice-de-Beynost;2021;4155
01378;Saint-Maurice-de-Gourdans;2021;2748
01379;Saint-Maurice-de-Rémens;2021;756
01380;Saint-Nizier-le-Bouchoux;2021;598
01381;Saint-Nizier-le-Désert;2021;922
01382;Sainte-Olive;2021;331
01383;Saint-Paul-de-Varax;2021;1641
01384;Saint-Rambert-en-Bugey;2021;2173
01385;Saint-Rémy;2021;943
01386;Saint-Sorlin-en-Bugey;2021;1125
01387;Saint-Sulpice;2021;260
01388;Saint-Trivier-de-Courtes;2021;1119
01389;Saint-Trivier-sur-Moignans;2021;1857
01390;Saint-Vulbas;2021;1234
01391;Salavre;2021;284
01392;Samognat;2021;660
01393;Sandrans;2021;567
01396;Sault-Brénaz;2021;997
01397;Sauverny;2021;992
